,genre_ids,original_title,title,release_date,movie,production_budget,domestic_gross,worldwide_gross,domestic_return,worldwide_return,domestic_return%,worldwide_return%,release_year,release_day,release_month
88,"[18, 53]",Fair Game,Fair Game,2011-11-23,Hugo,180000000.0,73864507.0,180047784.0,-58.96416277777777,0.026546666666666666,-58.96416277777777,0.026546666666666666,2011,Wednesday,November
89,"[35, 10402, 10770]",Camp Rock 2: The Final Jam,Camp Rock 2: The Final Jam,2017-07-21,Valerian and the City of a Thousand Planets,180000000.0,40479370.0,215098356.0,-77.51146111111112,19.499086666666667,-77.51146111111112,19.499086666666667,2017,Friday,July
90,"[10752, 28, 12, 18, 53]",Green Zone,Green Zone,2015-02-06,Jupiter Ascending,179000000.0,47482519.0,181982519.0,-73.47345307262569,1.6662117318435754,-73.47345307262569,1.6662117318435754,2015,Friday,February
91,"[28, 12, 16]",Justice League: Crisis on Two Earths,Justice League: Crisis on Two Earths,2018-07-27,Mission: ImpossibleâFallout,178000000.0,220159104.0,787456552.0,23.684889887640452,342.3913213483146,23.684889887640452,342.3913213483146,2018,Friday,July
92,"[18, 10749]",Remember Me,Remember Me,2016-05-27,X-Men: Apocalypse,178000000.0,155442489.0,542537546.0,-12.672758988764047,204.79637415730338,-12.672758988764047,204.79637415730338,2016,Friday,May
93,"[12, 18, 53]",127 Hours,127 Hours,2018-08-10,The Meg,178000000.0,145443742.0,529530715.0,-18.290032584269664,197.48916573033708,-18.290032584269664,197.48916573033708,2018,Friday,August
94,"[9648, 14, 35, 12]",Scooby-Doo! Curse of the Lake Monster,Scooby-Doo! Curse of the Lake Monster,2014-06-06,Edge of Tomorrow,178000000.0,100206256.0,370541256.0,-43.70435056179775,108.16924494382023,-43.70435056179775,108.16924494382023,2014,Friday,June
95,"[35, 27]",Piranha 3D,Piranha 3D,2019-03-08,Captain Marvel,175000000.0,426525952.0,1123061550.0,143.72911542857142,541.7494571428572,143.72911542857142,541.7494571428572,2019,Friday,March
96,"[12, 18, 28, 14]",Valhalla Rising,Valhalla Rising,2016-04-15,The Jungle Book,175000000.0,364001123.0,962854547.0,108.00064171428572,450.2025982857143,108.00064171428572,450.2025982857143,2016,Friday,April
97,"[80, 18, 9648, 53]",Edge of Darkness,Edge of Darkness,2015-06-19,Inside Out,175000000.0,356461711.0,854235992.0,103.69240628571428,388.1348525714286,103.69240628571428,388.1348525714286,2015,Friday,June
98,"[14, 12, 28, 9648]",Les Aventures extraordinaires d'Adèle Blanc-Sec,The Extraordinary Adventures of Adèle Blanc-Sec,2017-07-07,Spider-Man: Homecoming,175000000.0,334201140.0,880166350.0,90.97208,402.9522,90.97208,402.9522,2017,Friday,July
99,"[35, 10749]",Valentine's Day,Valentine's Day,2016-08-05,Suicide Squad,175000000.0,325100054.0,746059887.0,85.77145942857143,326.31993542857145,85.77145942857143,326.31993542857145,2016,Friday,August
100,"[10749, 18, 53, 80]",The Next Three Days,The Next Three Days,2009-05-29,Up,175000000.0,293004164.0,731463377.0,67.43095085714286,317.97907257142856,67.43095085714286,317.97907257142856,2009,Friday,May
101,"[16, 10751, 10770]",Kung Fu Panda Holiday,Kung Fu Panda Holiday,2017-11-22,Coco,175000000.0,209726015.0,798008101.0,19.84343714285714,356.00462914285714,19.84343714285714,356.00462914285714,2017,Wednesday,November
102,"[18, 53, 9648]",Buried,Buried,2018-11-21,Ralph Breaks The Internet,175000000.0,201091711.0,524283695.0,14.909549142857143,199.59068285714287,14.909549142857143,199.59068285714287,2018,Wednesday,November
103,"[28, 18, 36]",乱,Ran,2009-03-27,Monsters vs. Aliens,175000000.0,198351526.0,381687380.0,13.343729142857145,118.10707428571428,13.343729142857145,118.10707428571428,2009,Friday,March
104,"[12, 28, 35, 53]",Operation: Endgame,Operation: Endgame,2017-06-16,Cars 3,175000000.0,152901115.0,383541369.0,-12.627934285714284,119.16649657142857,-12.627934285714284,119.16649657142857,2017,Friday,June
105,"[35, 12, 10751, 14]",Gulliver's Travels,Gulliver's Travels,2009-08-07,G.I. Joe: The Rise of Cobra,175000000.0,150201498.0,302469017.0,-14.170572571428572,72.83943828571428,-14.170572571428572,72.83943828571428,2009,Friday,August
107,"[28, 35, 10751]",The Spy Next Door,The Spy Next Door,2008-08-01,The Mummy: Tomb of the Dragon Emperor,175000000.0,102491776.0,405760225.0,-41.43327085714286,131.8629857142857,-41.43327085714286,131.8629857142857,2008,Friday,August
108,"[35, 99, 28]",Jackass 3D,Jackass 3D,2007-06-22,Evan Almighty,175000000.0,100289690.0,174131329.0,-42.691605714285714,-0.4963834285714286,-42.691605714285714,-0.4963834285714286,2007,Friday,June
110,"[28, 53, 80]",Banlieue 13 - Ultimatum,District 13: Ultimatum,2017-05-12,King Arthur: Legend of the Sword,175000000.0,39175066.0,139630336.0,-77.614248,-20.21123657142857,-77.614248,-20.21123657142857,2017,Friday,May
111,"[53, 27]",[REC]²,[REC]²,2013-12-25,47 Ronin,175000000.0,38362475.0,151716815.0,-78.07858571428572,-13.304677142857143,-78.07858571428572,-13.304677142857143,2013,Wednesday,December
112,"[12, 16, 10751, 35]",Open Season 3,Open Season 3,2018-06-22,Jurassic World: Fallen Kingdom,170000000.0,417719760.0,1305772799.0,145.71750588235295,668.1016464705882,145.71750588235295,668.1016464705882,2018,Friday,June
113,"[35, 18, 10749]",Morning Glory,Morning Glory,2014-08-01,Guardians of the Galaxy,170000000.0,333172112.0,770867516.0,95.98359529411765,353.45148,95.98359529411765,353.45148,2014,Friday,August
114,"[53, 80, 18, 28]",Harry Brown,Harry Brown,2010-05-07,Iron Man 2,170000000.0,312433331.0,621156389.0,83.78431235294119,265.3861111764706,83.78431235294119,265.3861111764706,2010,Friday,May
